Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
7,Costa Rica,COSTA RICA,Manufacturas de tecnología media,13491970.879999999,3553502.35
7,Costa Rica,COSTA RICA,Otras transacciones,94074.21,8510.73
7,Croacia,CROACIA,Bienes primarios,4812004.930000001,68521759
7,Cuba,CUBA,Bienes primarios,1293041.5899999999,679235.85
7,Cuba,CUBA,Manufacturas basadas en recursos naturales,3408246.71,3654577.02
7,Cuba,CUBA,Manufacturas de alta tecnología,36198.96,21451
7,Cuba,CUBA,Manufacturas de baja tecnología,455973.81,83419.8
7,Cuba,CUBA,Manufacturas de tecnología media,933459.74,744299.87
7,Cuba,CUBA,Otras transacciones,22027.2,3701.96
7,Dinamarca,DINAMARCA,Bienes primarios,811604.98,561379.1
7,Dinamarca,DINAMARCA,Manufacturas basadas en recursos naturales,34596.71,7759.2300000000005
7,Dinamarca,DINAMARCA,Manufacturas de alta tecnología,215.2,10
7,Dinamarca,DINAMARCA,Manufacturas de tecnología media,7071.860000000001,181
7,Djibouti,DJIBOUTI,Manufacturas de tecnología media,415195,18140.01
7,Dominica,DOMINICA,Bienes primarios,12840,495.6
7,Dominica,DOMINICA,Manufacturas basadas en recursos naturales,77094.49,31834.739999999998
7,Dominica,DOMINICA,Manufacturas de baja tecnología,47093.6,2884.59
7,Dominica,DOMINICA,Manufacturas de tecnología media,3462.24,8205.6
7,Dominica,DOMINICA,Otras transacciones,3,3.29
7,Ecuador,ECUADOR,Bienes primarios,8441139.12,4822040.07
7,Ecuador,ECUADOR,Manufacturas basadas en recursos naturales,32538302.84,30986369.5
7,Ecuador,ECUADOR,Manufacturas de alta tecnología,14096981.77,1434939.19
7,Ecuador,ECUADOR,Manufacturas de baja tecnología,32922486.27,6606226.79
7,Ecuador,ECUADOR,Manufacturas de tecnología media,60070841.55,17837345.53
7,Ecuador,ECUADOR,Otras transacciones,925017.01,105779.09
7,Egipto,EGIPTO,Bienes primarios,16091349.54,6604989.42
7,Egipto,EGIPTO,Manufacturas de alta tecnología,6270.610000000001,12
7,Egipto,EGIPTO,Manufacturas de tecnología media,249846.42,759
7,El Salvador,EL SALVADOR,Bienes primarios,786996.29,98778.81
7,El Salvador,EL SALVADOR,Manufacturas basadas en recursos naturales,3835337.27,4197639.59
7,El Salvador,EL SALVADOR,Manufacturas de alta tecnología,3900468.55,385854.49
7,El Salvador,EL SALVADOR,Manufacturas de baja tecnología,2048480.67,571320.88
7,El Salvador,EL SALVADOR,Manufacturas de tecnología media,7264691.87,1816392.1
7,El Salvador,EL SALVADOR,Otras transacciones,169835.12,8701.46
7,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Bienes primarios,5144540.53,987980.01
7,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas basadas en recursos naturales,783118.71,216825.55
7,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas de alta tecnología,523389.33,8925.78
7,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas de baja tecnología,104967.44,315.76000000000005
7,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas de tecnología media,142149.99,4617.1500000000005
7,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Otras transacciones,70934466.22,770.5100000000001
7,Eslovaquia,ESLOVAQUIA,Bienes primarios,135995.65,69148
7,Eslovaquia,ESLOVAQUIA,Manufacturas de baja tecnología,55494.08,8304.68
7,Eslovenia,ESLOVENIA,Bienes primarios,5414259.6,12037106.9
7,Eslovenia,ESLOVENIA,Manufacturas de baja tecnología,5000,200
7,España,ESPANA,Bienes primarios,33495641.63,91019730.02
7,España,ESPANA,Manufacturas basadas en recursos naturales,26224826.09,35934840.11
